"Bitcoin Core Version","Num all files","Size all files (B)","Num code files (cpp, cc, py, h, sh, c, java, mk)","Size code files (B)","*","All line additions","All line removals","All files changed","Ratio all files changed","All changed bytes","Ratio all bytes changed","*","Code line additions","Code line removals","Code files changed","Ratio code files changed","Code changed bytes","Ratio code bytes changed","*","File extenension histogram","Code file extenension histogram",
"bitcoin-0.16.2","658","7341299","539","5506056","*","143","160","55","0.08358662613981763","1688964","0.23006337161856505","*","143","160","55","0.10204081632653061","1688964","0.30674660773519197","*",".h (242), .cpp (200), .cc (74), .json (60),  (20), .c (17), .md (12), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (242), .cpp (200), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.16.3","658","7346686","539","5511443","*","153","6","6","0.00911854103343465","453455","0.06172238748192042","*","153","6","6","0.011131725417439703","453455","0.08227518637133688","*",".h (242), .cpp (200), .cc (74), .json (60),  (20), .c (17), .md (12), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (242), .cpp (200), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.17.0","694","7875224","574","6033244","*","30310","50492","595","0.8573487031700289","12281769","1.5595453538845372","*","24355","12607","453","0.789198606271777","5185285","0.8594522283534364","*",".h (255), .cpp (222), .cc (74), .json (60),  (20), .c (17), .md (13), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (255), .cpp (222), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.17.0.1","694","7875275","574","6033295","*","4","4","2","0.002881844380403458","49625","0.00630136725384193","*","4","4","2","0.003484320557491289","49625","0.008225190381043858","*",".h (255), .cpp (222), .cc (74), .json (60),  (20), .c (17), .md (13), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (255), .cpp (222), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.17.1","694","7882837","574","6040857","*","332","115","23","0.03314121037463977","802464","0.10179888281338305","*","332","115","23","0.04006968641114982","802464","0.13283942990208178","*",".h (255), .cpp (222), .cc (74), .json (60),  (20), .c (17), .md (13), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (255), .cpp (222), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.18.0","737","8171066","615","6292641","*","40517","17858","510","0.6919945725915875","12234256","1.4972655954559662","*","18605","11135","397","0.6455284552845528","4832838","0.7680142566531286","*",".h (272), .cpp (246), .cc (74), .json (61),  (20), .c (17), .md (13), .include (7), .rc (4), .java (4), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (272), .cpp (246), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.18.1","738","8176379","616","6296946","*","22217","746","93","0.12601626016260162","4672487","0.5714616457969964","*","326","159","40","0.06493506493506493","1389373","0.22064235583408212","*",".h (272), .cpp (247), .cc (74), .json (61),  (20), .c (17), .md (13), .include (7), .rc (4), .java (4), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (272), .cpp (247), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.19.0.1","797","8521242","674","6643222","*","56325","90209","612","0.767879548306148","12667050","1.486526259904366","*","20463","11107","444","0.658753709198813","5748085","0.8652555943486459","*",".h (296), .cpp (280), .cc (74), .json (61),  (19), .c (18), .md (14), .include (8), .rc (4), .java (4), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (296), .cpp (280), .cc (74), .c (18), .java (4), .sh (2)",
"bitcoin-0.19.1","799","8528376","674","6648392","*","4282","2183","90","0.11264080100125157","5640312","0.6613582703201641","*","276","117","48","0.0712166172106825","1394015","0.2096770166380081","*",".h (296), .cpp (280), .cc (74), .json (63),  (19), .c (18), .md (14), .include (8), .rc (4), .java (4), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (296), .cpp (280), .cc (74), .c (18), .java (4), .sh (2)",
"bitcoin-0.20.0","875","8981636","730","7037422","*","57895","27918","821","0.9382857142857143","14952006","1.664730790693366","*","26683","16031","651","0.8917808219178082","6664751","0.9470443864244605","*",".h (323), .cpp (292), .cc (89), .json (63),  (23), .c (19), .md (17), .include (11), .yml (6), .in (5), .rc (4), .java (4), .am (3), .sage (3), .raw (2), .cmake (2), .txt (2), .ac (2), .sh (2), .py (1), .s (1), .html (1)",".h (323), .cpp (292), .cc (89), .c (19), .java (4), .sh (2), .py (1)",
"bitcoin-0.20.1","875","8985048","730","7040834","*","2260","456","60","0.06857142857142857","4647836","0.5172856060423939","*","272","248","31","0.04246575342465753","1150367","0.16338504785086538","*",".h (323), .cpp (292), .cc (89), .json (63),  (23), .c (19), .md (17), .include (11), .yml (6), .in (5), .rc (4), .java (4), .am (3), .sage (3), .raw (2), .cmake (2), .txt (2), .ac (2), .sh (2), .py (1), .s (1), .html (1)",".h (323), .cpp (292), .cc (89), .c (19), .java (4), .sh (2), .py (1)",
"bitcoin-0.21.0","1011","10222511","863","8255026","*","79590","28916","810","0.8011869436201781","16487467","1.6128588171731975","*","45414","15411","642","0.7439165701042874","7365684","0.8922666021887756","*",".cpp (402), .h (349), .cc (89), .json (63),  (22), .c (19), .md (18), .include (13), .yml (6), .in (5), .rc (4), .sage (4), .am (3), .sh (3), .raw (2), .cmake (2), .txt (2), .ac (2), .py (1), .s (1), .html (1)",".cpp (402), .h (349), .cc (89), .c (19), .sh (3), .py (1)",
"bitcoin-0.21.1","1012","10263689","864","8293078","*","21066","7626","99","0.09782608695652174","8226582","0.8015229222163688","*","1529","567","40","0.046296296296296294","1428442","0.1722450940410786","*",".cpp (403), .h (349), .cc (89), .json (63),  (22), .c (19), .md (18), .include (13), .yml (6), .in (5), .rc (4), .sage (4), .am (3), .sh (3), .raw (2), .cmake (2), .txt (2), .ac (2), .py (1), .s (1), .html (1)",".cpp (403), .h (349), .cc (89), .c (19), .sh (3), .py (1)",
"bitcoin-22.0","1100","10898217","944","8935467","*","112632","122751","921","0.8372727272727273","17689401","1.6231463366897538","*","37259","19877","743","0.7870762711864406","8217519","0.919651877176649","*",".cpp (451), .h (381), .cc (89), .json (63),  (23), .c (19), .md (19), .include (13), .yml (6), .in (6), .sage (6), .rc (5), .am (3), .sh (3), .raw (2), .capnp (2), .txt (2), .ac (2), .py (1), .dockerfile (1), .s (1), .cmake (1), .html (1)",".cpp (451), .h (381), .cc (89), .c (19), .sh (3), .py (1)",
"bitcoin-22.1","1100","10899159","944","8936185","*","26572","8716","87","0.07909090909090909","8578960","0.7871212815594304","*","49","29","18","0.019067796610169493","772730","0.08647202357605623","*",".cpp (451), .h (381), .cc (89), .json (63),  (23), .c (19), .md (19), .include (13), .yml (6), .in (6), .sage (6), .rc (5), .am (3), .sh (3), .raw (2), .capnp (2), .txt (2), .ac (2), .py (1), .dockerfile (1), .s (1), .cmake (1), .html (1)",".cpp (451), .h (381), .cc (89), .c (19), .sh (3), .py (1)",
"bitcoin-23.0","1149","15332472","988","13335391","*","150560","104548","922","0.8024369016536118","23573244","1.5374718440705453","*","64545","15057","742","0.7510121457489879","12816422","0.961083330814972","*",".cpp (476), .h (402), .cc (89), .json (64),  (25), .md (19), .c (16), .include (15), .yml (6), .in (6), .sage (6), .rc (5), .am (3), .sh (3), .raw (2), .capnp (2), .txt (2), .ac (2), .py (1), .mk (1), .dockerfile (1), .s (1), .cmake (1), .html (1)",".cpp (476), .h (402), .cc (89), .c (16), .sh (3), .py (1), .mk (1)",
"bitcoin-23.1","1149","15332912","988","13335691","*","23843","1395","71","0.06179286335944299","8267773","0.5392174037130064","*","32","13","10","0.010121457489878543","375928","0.028189615371261977","*",".cpp (476), .h (402), .cc (89), .json (64),  (25), .md (19), .c (16), .include (15), .yml (6), .in (6), .sage (6), .rc (5), .am (3), .sh (3), .raw (2), .capnp (2), .txt (2), .ac (2), .py (1), .mk (1), .dockerfile (1), .s (1), .cmake (1), .html (1)",".cpp (476), .h (402), .cc (89), .c (16), .sh (3), .py (1), .mk (1)",
"bitcoin-24.0.1","1212","16054283","1055","14043439","*","42916","30120","761","0.6278877887788779","23452050","1.4607970969491444","*","30230","13565","608","0.576303317535545","12170886","0.8666599399192748","*",".cpp (514), .h (427), .cc (89), .json (64),  (25), .c (21), .md (20), .include (15), .sage (6), .rc (5), .yml (5), .in (4), .am (2), .raw (2), .capnp (2), .txt (2), .sh (2), .py (1), .mk (1), .ac (1), .dockerfile (1), .s (1), .cmake (1), .html (1)",".cpp (514), .h (427), .cc (89), .c (21), .sh (2), .py (1), .mk (1)",
